Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Trea Turner","- - -",148,646,28,107,77,32,0.063467492,0.170278637,0.208403361,0.362255965,0.327731092,0.374613003,0.536134453,0.3861617553308143,0.364,142.50758213473318,7.61824331828393,42.57621003707983,6.875955104827881,7.131994622643019,"Trea Turner",16252,607208
"Fernando Tatis Jr.","SDP",130,546,42,99,97,25,0.113553113,0.28021978,0.328451883,0.324041811,0.282426778,0.364468864,0.610878661,0.40267823228129634,0.407,157.6987803343458,5.671039568260312,45.7767782317989,3.774829223752022,6.805563216845673,"Fernando Tatis Jr.",19709,665487
"Juan Soto","WSN",151,654,29,111,95,9,0.221712538,0.142201834,0.221115538,0.332467532,0.312749003,0.464831804,0.533864541,0.42023942209839255,0.429,163.69397404985946,-3.145154946949333,49.88505406672424,-4.118958234786987,6.789285124129448,"Juan Soto",20123,665742
"Bryce Harper","PHI",141,599,35,101,84,13,0.166944908,0.223706176,0.305327869,0.359133126,0.309426229,0.42881072,0.614754098,0.4308981269751364,0.43,170.48425745080436,-0.2648649150505662,53.483616095301656,-7.290222644805908,6.647110866939391,"Bryce Harper",11579,547180
"José Ramírez","CLE",152,636,36,111,103,27,0.113207547,0.136792452,0.271739131,0.255760368,0.266304347,0.355345911,0.538043478,0.37188066832554606,0.376,139.77967140015403,5.67344031133689,36.64908568506166,5.728841312229633,6.43413732302453,"Jose Ramirez",13510,608070
"Vladimir Guerrero Jr.","TOR",161,698,48,123,111,4,0.123209169,0.157593123,0.289735099,0.3125,0.311258278,0.401146131,0.600993377,0.4190476244334374,0.421,165.70161871862166,-1.3648429445456713,54.78306107686764,-15.653825759887695,6.321345475271732,"Vladimir Guerrero Jr.",19611,665489
"Carlos Correa","HOU",148,640,26,104,92,0,0.1171875,0.18125,0.205405405,0.307875894,0.279279279,0.365625,0.484684684,0.36358570921757377,0.373,132.95456314337574,-1.1641905780415982,24.658268003231907,16.19843053817749,6.2953357799315794,"Carlos Correa",14162,621043
"Bryan Reynolds","PIT",159,646,24,93,90,5,0.116099071,0.184210526,0.220035778,0.345238095,0.302325581,0.390092879,0.522361359,0.3850083169607764,0.386,139.8216033903613,0.45121363177895546,33.200248418019164,7.843047380447388,6.288792649464728,"Bryan Reynolds",19326,668804
"Brandon Crawford","SFG",138,549,24,79,90,11,0.102003642,0.19125683,0.223602485,0.334261838,0.298136645,0.373406193,0.52173913,0.37713274529845237,0.356,139.67776093736074,-1.6118630203418434,26.11921449476861,17.46728515625,6.217502277953924,"Brandon Crawford",5343,543063
"Cedric Mullins","BAL",159,675,30,91,59,30,0.087407407,0.185185185,0.227574751,0.32150776,0.290697674,0.359583952,0.518272425,0.3716875475734027,0.344,135.59351174497044,2.488461150089279,31.903990499948513,4.704963445663452,5.989617845396523,"Cedric Mullins",17929,656775
"Marcus Semien","TOR",162,724,45,115,102,15,0.09116022,0.201657458,0.273006135,0.275862068,0.265337423,0.334254143,0.538343558,0.367611065589262,0.336,130.94209004165356,2.126882136799395,29.554637578184877,5.0488972663879395,5.956840180339087,"Marcus Semien",12533,543760
"Aaron Judge","NYY",148,633,39,89,98,6,0.118483412,0.249605055,0.256363636,0.332402234,0.287272727,0.372827804,0.543636363,0.38704453784199033,0.418,149.9826024255484,0.16695159045048058,38.90383097128204,-6.011617124080658,5.472649421229059,"Aaron Judge",15640,592450
"Nicky Lopez","KCR",151,565,2,78,43,22,0.086725663,0.130973451,0.078470825,0.346698113,0.299798792,0.365280289,0.378269617,0.3286870972372955,0.283,104.47418016492274,5.318134066415951,8.413157721246076,26.655813217163086,5.457342530693427,"Nicky Lopez",19339,670032
"Tyler O'Neill","STL",138,537,34,89,80,15,0.0707635,0.312849162,0.273858922,0.366197183,0.286307053,0.351955307,0.560165975,0.3838341801082178,0.389,142.66600104101735,2.776192464167252,31.94397875126097,2.8631839752197266,5.296783191798841,"Tyler O'Neill",15711,641933
"Jose Altuve","HOU",146,678,31,117,83,5,0.097345132,0.134218289,0.211314476,0.280412371,0.277870216,0.350073855,0.489184692,0.35684171336694714,0.332,128.39714090450926,1.23048542952165,24.80302464500975,4.342778921127319,5.251553216695647,"Jose Altuve",5417,514888
"Starling Marte","- - -",120,526,12,89,55,47,0.081749049,0.188212927,0.147751606,0.371508379,0.310492505,0.382857142,0.458244111,0.36442603025564047,0.347,131.97125607507425,10.189823583466932,31.222276126521095,2.632362484931946,5.182084586095727,"Starling Marte",9241,516782
"Austin Riley","ATL",160,662,33,91,107,0,0.078549848,0.253776435,0.227118644,0.367758186,0.30338983,0.367069486,0.530508474,0.3794858197371165,0.366,136.21561590172186,-0.5613519209437072,29.959813224983883,-1.3774150609970093,5.093096768966359,"Austin Riley",18360,663586
